timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704197957630,389,Homepage-1,200,OK,Thread Group 1-1,text,true,,282112,121,10,10,https://www.simplilearn.com/,72,0,0
1704197953981,4074,Business,200,OK,Thread Group 1-9,text,true,,1469800,389,10,10,https://www.simplilearn.com/business,98,0,0
1704197953981,98,Business-0,301,Moved Permanently,Thread Group 1-9,text,true,,577,130,10,10,http://www.simplilearn.com/business/,98,0,0
1704197954079,65,Business-1,301,Moved Permanently,Thread Group 1-9,text,true,,720,130,10,10,https://www.simplilearn.com/business/,65,0,0
1704197954144,3911,Business-2,200,OK,Thread Group 1-9,text,true,,1468503,129,10,10,https://www.simplilearn.com/business,206,0,0
1704197956784,1297,Resource,200,OK,Thread Group 1-3,text,true,,234376,392,10,10,https://www.simplilearn.com/resources,732,0,0
1704197956784,732,Resource-0,301,Moved Permanently,Thread Group 1-3,text,true,,578,131,10,10,http://www.simplilearn.com/resources/,732,0,0
1704197957517,68,Resource-1,301,Moved Permanently,Thread Group 1-3,text,true,,449,131,10,10,https://www.simplilearn.com/resources/,68,0,0
1704197957585,496,Resource-2,200,OK,Thread Group 1-3,text,true,,233349,130,10,10,https://www.simplilearn.com/resources,84,0,0
1704197958019,497,Resource,200,OK,Thread Group 1-1,text,true,,234368,392,10,10,https://www.simplilearn.com/resources,62,0,0
1704197958019,62,Resource-0,301,Moved Permanently,Thread Group 1-1,text,true,,578,131,10,10,http://www.simplilearn.com/resources/,62,0,0
1704197958081,61,Resource-1,301,Moved Permanently,Thread Group 1-1,text,true,,449,131,10,10,https://www.simplilearn.com/resources/,61,0,0
1704197958142,374,Resource-2,200,OK,Thread Group 1-1,text,true,,233341,130,10,10,https://www.simplilearn.com/resources,85,0,0
1704197957686,911,Resource,200,OK,Thread Group 1-6,text,true,,234385,392,10,10,https://www.simplilearn.com/resources,66,0,0
1704197957686,66,Resource-0,301,Moved Permanently,Thread Group 1-6,text,true,,578,131,10,10,http://www.simplilearn.com/resources/,66,0,0
1704197957752,93,Resource-1,301,Moved Permanently,Thread Group 1-6,text,true,,449,131,10,10,https://www.simplilearn.com/resources/,93,0,0
1704197957846,751,Resource-2,200,OK,Thread Group 1-6,text,true,,233358,130,10,10,https://www.simplilearn.com/resources,197,0,0
